{0: 16, 1: 19, 2: 14, 3: 16, 4: 17, 5: 12, 6: 7, 7: 14}
{0: 17, 1: 19, 2: 15, 3: 17, 4: 18, 5: 12, 6: 7, 7: 15}
{0: 17, 1: 20, 2: 16, 3: 17, 4: 19, 5: 13, 6: 8, 7: 15}
{0: 18, 1: 20, 2: 17, 3: 18, 4: 19, 5: 14, 6: 9, 7: 15}
{0: 19, 1: 21, 2: 18, 3: 18, 4: 20, 5: 14, 6: 9, 7: 16}
{0: 19, 1: 21, 2: 19, 3: 19, 4: 21, 5: 15, 6: 10, 7: 16}
{0: 19, 1: 22, 2: 20, 3: 19, 4: 22, 5: 16, 6: 10, 7: 17}
{0: 19, 1: 22, 2: 21, 3: 20, 4: 23, 5: 17, 6: 10, 7: 18}

{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0}
{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 0, 6: 0, 7: 0}
{0: 3, 1: 3, 2: 3, 3: 3, 4: 3, 5: 0, 6: 0, 7: 0}
{0: 4, 1: 4, 2: 4, 3: 4, 4: 4, 5: 0, 6: 0, 7: 0}
{0: 5, 1: 5, 2: 4, 3: 5, 4: 5, 5: 1, 6: 0, 7: 0}
{0: 6, 1: 6, 2: 5, 3: 6, 4: 5, 5: 1, 6: 1, 7: 0}
{0: 7, 1: 6, 2: 5, 3: 7, 4: 6, 5: 2, 6: 2, 7: 0}
{0: 8, 1: 7, 2: 6, 3: 8, 4: 7, 5: 2, 6: 2, 7: 0}
{0: 9, 1: 8, 2: 6, 3: 8, 4: 7, 5: 3, 6: 3, 7: 1}
{0: 9, 1: 9, 2: 7, 3: 8, 4: 8, 5: 4, 6: 3, 7: 2}
{0: 10, 1: 10, 2: 8, 3: 9, 4: 9, 5: 4, 6: 3, 7: 2}
{0: 11, 1: 11, 2: 9, 3: 10, 4: 10, 5: 4, 6: 3, 7: 2}
{0: 12, 1: 12, 2: 10, 3: 11, 4: 11, 5: 4, 6: 3, 7: 2}
{0: 12, 1: 13, 2: 11, 3: 12, 4: 12, 5: 4, 6: 4, 7: 2}
{0: 13, 1: 13, 2: 12, 3: 12, 4: 12, 5: 5, 6: 5, 7: 3}
{0: 13, 1: 14, 2: 12, 3: 13, 4: 12, 5: 6, 6: 6, 7: 4}
{0: 14, 1: 15, 2: 13, 3: 14, 4: 12, 5: 6, 6: 6, 7: 5}
{0: 15, 1: 16, 2: 13, 3: 15, 4: 12, 5: 7, 6: 6, 7: 6}
