{0: 4, 1: 6, 2: 3, 3: 5, 4: 6, 5: 4, 6: 4, 7: 10}
{0: 5, 1: 6, 2: 3, 3: 6, 4: 7, 5: 5, 6: 4, 7: 11}
{0: 6, 1: 6, 2: 3, 3: 7, 4: 7, 5: 6, 6: 5, 7: 12}
{0: 6, 1: 7, 2: 3, 3: 8, 4: 7, 5: 7, 6: 6, 7: 13}
{0: 6, 1: 7, 2: 3, 3: 8, 4: 8, 5: 8, 6: 6, 7: 14}
{0: 6, 1: 7, 2: 4, 3: 9, 4: 8, 5: 9, 6: 7, 7: 15}
{0: 6, 1: 7, 2: 5, 3: 10, 4: 9, 5: 9, 6: 7, 7: 16}
{0: 6, 1: 8, 2: 5, 3: 11, 4: 10, 5: 10, 6: 7, 7: 17}
{0: 7, 1: 9, 2: 6, 3: 11, 4: 10, 5: 11, 6: 7, 7: 18}
{0: 7, 1: 10, 2: 7, 3: 12, 4: 10, 5: 12, 6: 7, 7: 19}
{0: 8, 1: 10, 2: 8, 3: 12, 4: 11, 5: 13, 6: 7, 7: 20}
{0: 9, 1: 11, 2: 9, 3: 12, 4: 11, 5: 13, 6: 7, 7: 21}
{0: 10, 1: 12, 2: 9, 3: 12, 4: 12, 5: 13, 6: 8, 7: 22}
{0: 11, 1: 12, 2: 10, 3: 12, 4: 12, 5: 13, 6: 9, 7: 23}
{0: 11, 1: 12, 2: 11, 3: 13, 4: 13, 5: 14, 6: 9, 7: 24}
{0: 12, 1: 13, 2: 11, 3: 13, 4: 14, 5: 14, 6: 10, 7: 25}
{0: 13, 1: 14, 2: 12, 3: 13, 4: 15, 5: 14, 6: 10, 7: 26}
{0: 14, 1: 15, 2: 12, 3: 13, 4: 16, 5: 15, 6: 10, 7: 27}
{0: 14, 1: 15, 2: 13, 3: 13, 4: 17, 5: 16, 6: 10, 7: 28}
{0: 15, 1: 15, 2: 13, 3: 13, 4: 17, 5: 17, 6: 10, 7: 29}
{0: 16, 1: 16, 2: 13, 3: 13, 4: 18, 5: 18, 6: 10, 7: 30}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 0}
{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 2, 7: 1}
{0: 2, 1: 2, 2: 2, 3: 1, 4: 2, 5: 2, 6: 2, 7: 2}
{0: 3, 1: 2, 2: 2, 3: 2, 4: 2, 5: 3, 6: 2, 7: 3}
{0: 3, 1: 2, 2: 2, 3: 3, 4: 3, 5: 3, 6: 2, 7: 4}
{0: 4, 1: 3, 2: 2, 3: 3, 4: 4, 5: 3, 6: 2, 7: 5}
{0: 4, 1: 4, 2: 2, 3: 3, 4: 4, 5: 4, 6: 2, 7: 6}
{0: 4, 1: 5, 2: 2, 3: 3, 4: 5, 5: 5, 6: 3, 7: 7}
{0: 4, 1: 6, 2: 3, 3: 3, 4: 6, 5: 6, 6: 3, 7: 8}
{0: 4, 1: 7, 2: 4, 3: 3, 4: 6, 5: 6, 6: 4, 7: 9}
{0: 4, 1: 7, 2: 5, 3: 4, 4: 6, 5: 6, 6: 5, 7: 10}
{0: 5, 1: 7, 2: 6, 3: 5, 4: 6, 5: 7, 6: 5, 7: 11}
{0: 5, 1: 7, 2: 6, 3: 6, 4: 7, 5: 7, 6: 6, 7: 12}
{0: 5, 1: 7, 2: 6, 3: 7, 4: 8, 5: 8, 6: 6, 7: 13}
{0: 6, 1: 7, 2: 6, 3: 8, 4: 8, 5: 9, 6: 6, 7: 14}
{0: 7, 1: 8, 2: 6, 3: 8, 4: 8, 5: 10, 6: 7, 7: 15}
{0: 7, 1: 8, 2: 7, 3: 9, 4: 9, 5: 10, 6: 8, 7: 16}
{0: 7, 1: 8, 2: 7, 3: 10, 4: 10, 5: 10, 6: 9, 7: 17}
{0: 7, 1: 8, 2: 8, 3: 11, 4: 11, 5: 10, 6: 10, 7: 18}
{0: 7, 1: 9, 2: 9, 3: 11, 4: 11, 5: 10, 6: 11, 7: 19}
{0: 8, 1: 9, 2: 9, 3: 11, 4: 12, 5: 10, 6: 12, 7: 20}
{0: 9, 1: 9, 2: 9, 3: 11, 4: 13, 5: 11, 6: 13, 7: 21}
{0: 10, 1: 10, 2: 10, 3: 11, 4: 13, 5: 12, 6: 13, 7: 22}
{0: 10, 1: 11, 2: 11, 3: 11, 4: 13, 5: 13, 6: 14, 7: 23}
{0: 11, 1: 11, 2: 11, 3: 12, 4: 13, 5: 14, 6: 15, 7: 24}
{0: 11, 1: 12, 2: 11, 3: 12, 4: 14, 5: 15, 6: 16, 7: 25}
{0: 11, 1: 13, 2: 12, 3: 13, 4: 15, 5: 15, 6: 16, 7: 26}
{0: 11, 1: 14, 2: 13, 3: 13, 4: 15, 5: 16, 6: 17, 7: 27}
{0: 12, 1: 15, 2: 13, 3: 13, 4: 16, 5: 17, 6: 18, 7: 27}
{0: 12, 1: 16, 2: 14, 3: 13, 4: 17, 5: 17, 6: 19, 7: 28}

{0: 0, 1: 0, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 1, 6: 0, 7: 2}
{0: 0, 1: 1, 2: 2, 3: 2, 4: 1, 5: 2, 6: 1, 7: 3}
{0: 1, 1: 2, 2: 3, 3: 2, 4: 1, 5: 3, 6: 1, 7: 4}
{0: 1, 1: 2, 2: 4, 3: 3, 4: 2, 5: 3, 6: 1, 7: 5}
{0: 1, 1: 3, 2: 4, 3: 3, 4: 3, 5: 3, 6: 2, 7: 6}
{0: 2, 1: 4, 2: 4, 3: 3, 4: 3, 5: 3, 6: 3, 7: 7}
{0: 2, 1: 5, 2: 5, 3: 4, 4: 4, 5: 3, 6: 3, 7: 8}
{0: 2, 1: 6, 2: 6, 3: 5, 4: 4, 5: 4, 6: 3, 7: 9}
{0: 2, 1: 6, 2: 6, 3: 6, 4: 5, 5: 5, 6: 3, 7: 10}
{0: 3, 1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 3, 7: 11}
{0: 4, 1: 6, 2: 6, 3: 6, 4: 7, 5: 6, 6: 4, 7: 12}
{0: 4, 1: 6, 2: 6, 3: 7, 4: 8, 5: 6, 6: 4, 7: 13}
{0: 4, 1: 7, 2: 7, 3: 8, 4: 9, 5: 7, 6: 4, 7: 13}
{0: 5, 1: 8, 2: 7, 3: 8, 4: 9, 5: 8, 6: 4, 7: 14}
{0: 5, 1: 9, 2: 8, 3: 8, 4: 9, 5: 8, 6: 5, 7: 15}
{0: 5, 1: 10, 2: 8, 3: 9, 4: 10, 5: 8, 6: 6, 7: 16}
{0: 6, 1: 11, 2: 8, 3: 9, 4: 11, 5: 8, 6: 6, 7: 17}
{0: 6, 1: 11, 2: 9, 3: 10, 4: 12, 5: 9, 6: 6, 7: 18}
{0: 7, 1: 12, 2: 9, 3: 10, 4: 13, 5: 9, 6: 7, 7: 19}
{0: 7, 1: 12, 2: 9, 3: 11, 4: 14, 5: 9, 6: 8, 7: 20}
{0: 8, 1: 12, 2: 9, 3: 11, 4: 15, 5: 10, 6: 8, 7: 21}
{0: 9, 1: 12, 2: 10, 3: 11, 4: 15, 5: 10, 6: 9, 7: 22}
{0: 9, 1: 13, 2: 10, 3: 12, 4: 15, 5: 11, 6: 9, 7: 23}
{0: 10, 1: 14, 2: 10, 3: 12, 4: 16, 5: 11, 6: 9, 7: 24}
{0: 11, 1: 14, 2: 11, 3: 13, 4: 16, 5: 12, 6: 9, 7: 25}
{0: 12, 1: 15, 2: 11, 3: 13, 4: 16, 5: 13, 6: 10, 7: 26}
{0: 12, 1: 16, 2: 12, 3: 13, 4: 17, 5: 13, 6: 11, 7: 27}
{0: 13, 1: 16, 2: 13, 3: 14, 4: 17, 5: 13, 6: 11, 7: 28}
{0: 14, 1: 17, 2: 13, 3: 15, 4: 17, 5: 14, 6: 12, 7: 28}

{0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 2, 7: 2}
{0: 2, 1: 2, 2: 1, 3: 2, 4: 2, 5: 1, 6: 2, 7: 3}
{0: 3, 1: 2, 2: 1, 3: 3, 4: 3, 5: 1, 6: 2, 7: 4}
{0: 3, 1: 2, 2: 2, 3: 4, 4: 3, 5: 2, 6: 3, 7: 5}
{0: 3, 1: 2, 2: 2, 3: 4, 4: 4, 5: 2, 6: 3, 7: 6}
{0: 3, 1: 3, 2: 2, 3: 5, 4: 4, 5: 3, 6: 4, 7: 7}
{0: 4, 1: 3, 2: 3, 3: 5, 4: 4, 5: 3, 6: 5, 7: 8}
{0: 5, 1: 4, 2: 3, 3: 5, 4: 4, 5: 4, 6: 6, 7: 9}
{0: 6, 1: 4, 2: 4, 3: 6, 4: 4, 5: 4, 6: 6, 7: 10}
{0: 6, 1: 5, 2: 4, 3: 7, 4: 5, 5: 5, 6: 7, 7: 10}
{0: 7, 1: 5, 2: 4, 3: 8, 4: 5, 5: 6, 6: 8, 7: 11}
{0: 8, 1: 6, 2: 5, 3: 8, 4: 5, 5: 7, 6: 8, 7: 12}
{0: 9, 1: 6, 2: 5, 3: 8, 4: 6, 5: 8, 6: 8, 7: 13}
{0: 9, 1: 6, 2: 6, 3: 8, 4: 7, 5: 9, 6: 8, 7: 14}
{0: 9, 1: 7, 2: 6, 3: 9, 4: 8, 5: 9, 6: 9, 7: 15}
{0: 9, 1: 7, 2: 6, 3: 10, 4: 9, 5: 10, 6: 10, 7: 16}
{0: 9, 1: 8, 2: 6, 3: 10, 4: 10, 5: 11, 6: 11, 7: 17}
{0: 9, 1: 9, 2: 7, 3: 11, 4: 10, 5: 12, 6: 11, 7: 18}
{0: 10, 1: 10, 2: 8, 3: 11, 4: 10, 5: 13, 6: 11, 7: 19}
{0: 10, 1: 10, 2: 9, 3: 12, 4: 10, 5: 14, 6: 12, 7: 20}
{0: 10, 1: 11, 2: 10, 3: 12, 4: 10, 5: 15, 6: 13, 7: 21}
{0: 11, 1: 12, 2: 10, 3: 12, 4: 11, 5: 15, 6: 14, 7: 22}
